p1_x,p1_y,p2_x,p2_y
-71.5363841,-16.3948796,-71.5364941,-16.3952078
-71.5370163,-16.3957063,-71.5368224,-16.3956102
-71.5370163,-16.3957063,-71.5368224,-16.3956102
-71.5321428,-16.3975711,-71.5310208,-16.3979809
-71.5321428,-16.3975711,-71.531715,-16.3965282
-71.5314637,-16.3990112,-71.5321126,-16.3987738
-71.5314637,-16.3990112,-71.5314264,-16.3989246
-71.5314637,-16.3990112,-71.5314386,-16.3990217
-71.5314637,-16.3990112,-71.5316677,-16.3994912
-71.5284137,-16.3938503,-71.5287981,-16.3942372
-71.5310208,-16.3979809,-71.5308454,-16.3976454
-71.5310208,-16.3979809,-71.5312134,-16.3984193
-71.5404998,-16.4054799,-71.5408026,-16.4052433
-71.5404998,-16.4054799,-71.5407759,-16.4059527
-71.5404998,-16.4054799,-71.5402637,-16.4055852
-71.5405656,-16.4043258,-71.5414516,-16.4039543
-71.5405656,-16.4043258,-71.5405114,-16.4038442
-71.5405656,-16.4043258,-71.5408246,-16.4048629
-71.5430625,-16.4033138,-71.5427606,-16.4034298
-71.5430625,-16.4033138,-71.5433303,-16.4037866
-71.5430625,-16.4033138,-71.5428246,-16.4025393
-71.5336362,-16.3982212,-71.5339904,-16.3980933
-71.5336362,-16.3982212,-71.5335728,-16.3980701
-71.5323181,-16.3950766,-71.5328255,-16.3949088
-71.5323181,-16.3950766,-71.5327744,-16.3961651
-71.5323181,-16.3950766,-71.5312799,-16.3953912
-71.547311,-16.3974138,-71.5472625,-16.3973894
-71.547311,-16.3974138,-71.5477455,-16.3976542
-71.5497827,-16.417508,-71.5504487,-16.4169741
-71.5497827,-16.417508,-71.5492496,-16.4171182
-71.5497827,-16.417508,-71.5491899,-16.4168449
-71.5497827,-16.417508,-71.5500743,-16.4177937
-71.5444786,-16.4220537,-71.5445926,-16.4219436
-71.5444786,-16.4220537,-71.5445928,-16.4221691
-71.5444786,-16.4220537,-71.5443797,-16.4219561
-71.5444786,-16.4220537,-71.5443571,-16.4221487
-71.5455976,-16.4210432,-71.5456645,-16.4209815
-71.5455976,-16.4210432,-71.5454207,-16.4210175
-71.5455976,-16.4210432,-71.5454418,-16.4211735
-71.5443831,-16.4224562,-71.5442546,-16.4224562
-71.5443831,-16.4224562,-71.5445269,-16.4225336
-71.5443831,-16.4224562,-71.5444827,-16.4223453
-71.5442546,-16.4224562,-71.5441621,-16.4223666
-71.5504487,-16.4169741,-71.5513745,-16.4174888
-71.5500743,-16.4177937,-71.5506111,-16.4183238
-71.5500743,-16.4177937,-71.5493337,-16.417816
-71.5500743,-16.4177937,-71.5505889,-16.4184372
-71.5445928,-16.4221691,-71.5444786,-16.422254
-71.5445928,-16.4221691,-71.5446853,-16.4222625
-71.5445928,-16.4221691,-71.5454951,-16.421338
-71.5502458,-16.416885,-71.5505594,-16.4165898
-71.5502458,-16.416885,-71.5498872,-16.4162525
-71.5502458,-16.416885,-71.5494922,-16.4175757
-71.5582346,-16.4272805,-71.55816,-16.4273419
-71.5582346,-16.4272805,-71.5584561,-16.4275279
-71.5582346,-16.4272805,-71.5580114,-16.4270134
-71.55816,-16.4273419,-71.557389,-16.4279768
-71.55816,-16.4273419,-71.5581389,-16.4273166
-71.55816,-16.4273419,-71.5583779,-16.4275908
-71.554139,-16.4135682,-71.553637,-16.4140275
-71.554139,-16.4135682,-71.5539351,-16.4132398
-71.563005,-16.4320415,-71.562422,-16.4319635
-71.563005,-16.4320415,-71.5630709,-16.4317932
-71.563005,-16.4320415,-71.563503,-16.4322463
-71.518726,-16.403876,-71.5186798,-16.4038564
-71.518726,-16.403876,-71.518333,-16.4044461
-71.518726,-16.403876,-71.5192304,-16.4041535
-71.5380008,-16.400145,-71.5383898,-16.4012022
-71.5380008,-16.400145,-71.5377028,-16.4002556
-71.5380008,-16.400145,-71.537626,-16.3991278
-71.5380008,-16.400145,-71.5387449,-16.3998929
-71.5499623,-16.4019904,-71.5493931,-16.4022831
-71.5499623,-16.4019904,-71.5504914,-16.4032355
-71.5499623,-16.4019904,-71.5503054,-16.4018013
-71.5364608,-16.4093948,-71.5365222,-16.4094483
-71.5364608,-16.4093948,-71.5369983,-16.4088155
-71.5364608,-16.4093948,-71.5364217,-16.4094374
-71.5601926,-16.4298194,-71.5602699,-16.4297728
-71.5601926,-16.4298194,-71.5597288,-16.4291932
-71.5350429,-16.4046928,-71.5354348,-16.4055541
-71.5350429,-16.4046928,-71.534375,-16.404946
-71.5350429,-16.4046928,-71.5361464,-16.4042962
-71.5350429,-16.4046928,-71.5349385,-16.4044451
-71.527605,-16.4122088,-71.5274319,-16.4120929
-71.5385011,-16.3964736,-71.5388786,-16.3974957
-71.5385011,-16.3964736,-71.5397076,-16.3959183
-71.5385011,-16.3964736,-71.5381015,-16.3954457
-71.5385011,-16.3964736,-71.5379323,-16.3966834
-71.5334034,-16.4082854,-71.534123,-16.4089116
-71.5334034,-16.4082854,-71.5329815,-16.4079279
-71.5334034,-16.4082854,-71.5339691,-16.4077109
-71.5334034,-16.4082854,-71.5329074,-16.4088241
-71.5461577,-16.3990815,-71.5466922,-16.3988799
-71.5495275,-16.4042227,-71.549306,-16.4052269
-71.5495275,-16.4042227,-71.551297,-16.4034825
-71.5495275,-16.4042227,-71.5498974,-16.4050372
-71.5279979,-16.4130023,-71.5280837,-16.4130139
-71.5279979,-16.4130023,-71.5283716,-16.4119638
-71.5279979,-16.4130023,-71.5278495,-16.4140354
-71.5369674,-16.4005453,-71.5369091,-16.4003629
-71.5369674,-16.4005453,-71.5364839,-16.4007097
-71.5369674,-16.4005453,-71.5373478,-16.4015719
-71.5369674,-16.4005453,-71.5374815,-16.4003378
-71.5293945,-16.3973352,-71.529022,-16.3970656
-71.5293945,-16.3973352,-71.5304994,-16.396927
-71.5293945,-16.3973352,-71.5279044,-16.3990471
-71.5293945,-16.3973352,-71.5303861,-16.3980649
-71.543504,-16.4140604,-71.543519,-16.4140541
-71.543504,-16.4140604,-71.5434454,-16.4141806
-71.543504,-16.4140604,-71.5431728,-16.4140652
-71.5445181,-16.408513,-71.5447288,-16.4089399
-71.5445181,-16.408513,-71.5441163,-16.4087034
-71.5445181,-16.408513,-71.5448152,-16.4083172
-71.5445181,-16.408513,-71.5444199,-16.4082889
-71.5294338,-16.4139184,-71.5290874,-16.4142681
-71.5294338,-16.4139184,-71.5297742,-16.4135313
-71.5294338,-16.4139184,-71.5285464,-16.4134652
-71.5399633,-16.4112959,-71.5403273,-16.4115381
-71.5399633,-16.4112959,-71.5397632,-16.4111563
-71.5399633,-16.4112959,-71.5396248,-16.4117513
-71.5372268,-16.3851501,-71.5374046,-16.385679
-71.5372268,-16.3851501,-71.5369296,-16.3842648
-71.5517694,-16.4055064,-71.5515623,-16.4061506
-71.5517694,-16.4055064,-71.5520711,-16.4044097
-71.5517694,-16.4055064,-71.5506624,-16.4061817
-71.5517694,-16.4055064,-71.5521699,-16.4044358
-71.5501226,-16.4101795,-71.550489,-16.4104153
-71.5501226,-16.4101795,-71.5497034,-16.4094291
-71.5501226,-16.4101795,-71.5513124,-16.4094146
-71.5490895,-16.408318,-71.5498303,-16.4093599
-71.5490895,-16.408318,-71.5489797,-16.4083869
-71.5490895,-16.408318,-71.5483221,-16.407276
-71.548615,-16.3994126,-71.5490734,-16.3990555
-71.548615,-16.3994126,-71.5486466,-16.3994479
-71.548615,-16.3994126,-71.5482493,-16.3990092
-71.548615,-16.3994126,-71.5480907,-16.3997684
-71.5331565,-16.4168338,-71.5331034,-16.4169121
-71.5331565,-16.4168338,-71.5332099,-16.416865
-71.5331565,-16.4168338,-71.533237,-16.416716
-71.5331565,-16.4168338,-71.5330767,-16.4167943
-71.5434862,-16.3981745,-71.5424569,-16.3985667
-71.5434862,-16.3981745,-71.5434432,-16.3981446
-71.5434862,-16.3981745,-71.5437174,-16.3980686
-71.5373912,-16.4091773,-71.5372353,-16.4092639
-71.5373912,-16.4091773,-71.5379607,-16.4098644
-71.5373912,-16.4091773,-71.537766,-16.4088747
-71.5239577,-16.3980728,-71.5225197,-16.3989635
-71.5239577,-16.3980728,-71.5250667,-16.3973296
-71.5239577,-16.3980728,-71.5248918,-16.3988201
-71.5274319,-16.4120929,-71.5269592,-16.4117732
-71.5274319,-16.4120929,-71.5267292,-16.4130489
-71.5430318,-16.4054032,-71.5424937,-16.4057402
-71.5430318,-16.4054032,-71.5434103,-16.4051823
-71.5430318,-16.4054032,-71.5433563,-16.4062629
-71.5415099,-16.400163,-71.5416662,-16.4001069
-71.5415099,-16.400163,-71.5414142,-16.3995975
-71.5415099,-16.400163,-71.5411836,-16.4002673
-71.535923,-16.4089623,-71.5358585,-16.4085994
-71.535923,-16.4089623,-71.5361342,-16.4085962
-71.535923,-16.4089623,-71.5360434,-16.4097764
-71.5404223,-16.4033502,-71.5411121,-16.4030677
-71.5404223,-16.4033502,-71.539877,-16.4036085
-71.5404223,-16.4033502,-71.5405114,-16.4038442
-71.5493437,-16.4165508,-71.5491924,-16.4161814
-71.5493437,-16.4165508,-71.5492358,-16.4167982
-71.5493437,-16.4165508,-71.5494368,-16.416617
-71.5464404,-16.4109838,-71.5466836,-16.4114028
-71.5464404,-16.4109838,-71.5466045,-16.4105168
-71.5464404,-16.4109838,-71.5453225,-16.4109495
-71.530581,-16.3995301,-71.5300476,-16.3988954
-71.530581,-16.3995301,-71.5310706,-16.3991379
-71.530581,-16.3995301,-71.5305355,-16.3995761
-71.5288491,-16.4146442,-71.5290911,-16.4147986
-71.5288491,-16.4146442,-71.5290874,-16.4142681
-71.5288491,-16.4146442,-71.5280184,-16.4141335
-71.5303285,-16.4032297,-71.5299516,-16.4036589
-71.5303285,-16.4032297,-71.5294543,-16.4025184
-71.5303285,-16.4032297,-71.5306346,-16.4028764
-71.5303285,-16.4032297,-71.5306239,-16.4034595
-71.5404317,-16.4150915,-71.5398271,-16.4162786
-71.5404317,-16.4150915,-71.5406237,-16.4147966
-71.5404317,-16.4150915,-71.5395473,-16.4149508
-71.526739,-16.408125,-71.5266964,-16.4082302
-71.526739,-16.408125,-71.5271337,-16.4075071
-71.526739,-16.408125,-71.5275744,-16.4084195
-71.526739,-16.408125,-71.5266817,-16.4081062
-71.5183076,-16.4016966,-71.5179284,-16.4019494
-71.5183076,-16.4016966,-71.5183589,-16.4016638
