y	x
-16.410512099999900	-71.522437199999900
-16.408094999999900	-71.541848799999900
-16.392213399999900	-71.536287299999900
-16.399441599999900	-71.536663200000000
-16.401558200000000	-71.531039500000000
-16.408424499999900	-71.527276499999900
-16.408738400000000	-71.541162499999900
-16.411750300000000	-71.523654100000000
-16.405622800000000	-71.535338800000000
-16.397645399999900	-71.530845400000000
-16.407204900000000	-71.548116199999900
-16.398510099999900	-71.544537599999900
-16.394692500000000	-71.533460199999900
-16.401473899999900	-71.542809700000000
-16.392601500000000	-71.538473999999900
-16.395659800000000	-71.539764700000000
-16.392667100000000	-71.537357900000000
-16.393111399999900	-71.538499700000000
-16.398098800000000	-71.541545499999900
-16.392867500000000	-71.536962799999900
-16.398879099999900	-71.541776100000000
-16.395168000000000	-71.535538900000000
-16.395861600000000	-71.540025499999900
-16.395200800000000	-71.539167599999900
-16.393798199999900	-71.532315900000000
-16.397218299999900	-71.541081700000000
-16.391245099999900	-71.531487299999900
-16.393593200000000	-71.533021199999900
-16.393404400000000	-71.537238000000000
-16.392617800000000	-71.536902299999900
-16.393172900000000	-71.533829400000000
-16.394285199999900	-71.534685499999900
-16.392216600000000	-71.537880099999900
-16.398851400000000	-71.535128900000000
-16.391021100000000	-71.531420100000000
-16.391971000000000	-71.537618199999900
-16.396165100000000	-71.532774399999900
-16.397831199999900	-71.534720399999900
-16.391172399999900	-71.528810199999900
-16.391912999999900	-71.537485799999900
-16.396420299999900	-71.535387999999900
-16.396528199999900	-71.531715000000000
-16.403687000000000	-71.545986999999900
-16.403465099999900	-71.549901599999900
-16.403235500000000	-71.550491399999900
-16.401705600000000	-71.550502399999900
-16.402564800000000	-71.548806499999900
-16.402676000000000	-71.548582999999900
-16.401801299999900	-71.550305399999900
-16.401323999999900	-71.550019699999900
-16.398983999999900	-71.536496900000000
-16.388390900000000	-71.534487700000000
-16.389330099999900	-71.534962100000000
-16.390600100000000	-71.534992799999900
-16.390792800000000	-71.534521900000000
-16.390817599999900	-71.534581000000000
-16.391555300000000	-71.532244000000000
-16.393004800000000	-71.536642400000000
-16.400624799999900	-71.522873300000000
-16.405341199999900	-71.528657199999900
-16.410716399999900	-71.535228799999900
-16.411087899999900	-71.535745500000000
-16.419352900000000	-71.547865900000000
-16.409146199999900	-71.529079499999900
-16.410792399999900	-71.519391400000000
-16.410627600000000	-71.518167899999900
-16.411604799999900	-71.522861599999900
-16.410768200000000	-71.518751100000000
-16.411670800000000	-71.522837600000000
-16.412125799999900	-71.524756999999900
-16.410924200000000	-71.521956099999900
-16.411085300000000	-71.520218099999900
-16.410580100000000	-71.518827500000000
-16.410661600000000	-71.517005699999900
-16.412569800000000	-71.525915400000000
-16.411740999999900	-71.523204600000000
-16.411885800000000	-71.524066199999900
-16.412213000000000	-71.524729899999900
-16.411966400000000	-71.524040999999900
-16.411666600000000	-71.523219900000000
-16.389632299999900	-71.531936599999900
-16.390010900000000	-71.532265100000000
-16.391314600000000	-71.534413400000000
-16.391452999999900	-71.534575500000000
-16.392408499999900	-71.534595699999900
-16.391000600000000	-71.533948400000000
-16.393302800000000	-71.531707299999900
-16.393306700000000	-71.532286299999900
-16.404435800000000	-71.552169899999900
-16.408702200000000	-71.541209600000000
-16.408455499999900	-71.542119400000000
-16.408950000000000	-71.541370200000000
-16.408998000000000	-71.541270400000000
-16.405780600000000	-71.540089399999900
-16.408061700000000	-71.541898799999900
-16.412102600000000	-71.545162099999900
-16.412646899999900	-71.545607700000000
-16.413816199999900	-71.546586800000000
-16.416844900000000	-71.549189900000000
-16.405536600000000	-71.540144499999900
-16.406675700000000	-71.539394599999900
-16.407545700000000	-71.538657000000000
-16.399895300000000	-71.526225400000000
-16.401897900000000	-71.524440499999900
-16.405026299999900	-71.526661000000000
-16.407691400000000	-71.524290800000000
-16.398868300000000	-71.522457599999900
-16.399047800000000	-71.522186300000000
-16.409414600000000	-71.551312400000000
-16.419211700000000	-71.547593100000000
-16.421173499999900	-71.545441800000000
-16.421278600000000	-71.545559499999900
-16.421956099999900	-71.544379699999900
-16.422262499999900	-71.544685299999900
-16.422533600000000	-71.544526899999900
-16.422978300000000	-71.545153700000000
-16.423066800000000	-71.545523099999900
-16.423323499999900	-71.546206200000000
-16.405243299999900	-71.540802600000000
-16.390900200000000	-71.528622299999900
-16.393514799999900	-71.537400500000000
-16.392974200000000	-71.537216200000000
-16.393259199999900	-71.537621500000000
-16.393336000000000	-71.537559900000000
-16.412089999999900	-71.535313599999900
-16.412196200000000	-71.535506999999900
-16.416022999999900	-71.531059999999900
